Epic,Story ID,Story Title,Story Description,Acceptance Criteria,Complexity,MVP Priority,Dependencies,Sprint,Area
"Épica 1: Autenticación y Onboarding",HU1.1,Registro e Inicio de Sesión,"Como Administrador de Escuela, quiero registrar mi academia e iniciar sesión de forma segura para poder comenzar a gestionar mis operaciones en la plataforma.","• Formulario de registro con email, contraseña, nombre escuela, tipo deporte | • Flujo de verificación de email (vía Supabase Auth) | • Login con email/contraseña | • Funcionalidad Olvidé mi contraseña / Reseteo | • Redirección a wizard de onboarding tras primer login | • Persistencia de sesión (recordarme) | • Manejo de errores con mensajes claros",M,Obligatorio,Ninguna,1,Frontend;Backend
"Épica 1: Autenticación y Onboarding",HU1.2,Sistema de Autenticación Multi-Rol,"Como sistema, necesito soportar diferentes roles de usuario (Admin Escuela, Padre, Entrenador) con permisos apropiados para que cada usuario vea solo características relevantes.","• Asignación de rol durante registro | • Enrutamiento basado en rol | • Políticas RLS de Supabase por rol | • Metadata de usuario en tabla profiles con campo role | • Rutas protegidas basadas en rol | • Middleware de autorización en backend",L,Obligatorio,HU1.1,2,Backend;Database
"Épica 1: Autenticación y Onboarding",HU1.3,Configuración de Perfil de Escuela,"Como Administrador de Escuela, quiero completar el perfil de mi escuela con información esencial para que los padres puedan descubrir y confiar en mi academia.","• Formulario: nombre, descripción, dirección, teléfono, email | • Subida de logo/foto (Supabase Storage) | • Deportes ofrecidos (multi-select) | • Horarios y días de operación | • Información bancaria para pagos manuales | • Indicador de progreso de completitud | • Vista previa del perfil público",M,Obligatorio,HU1.1,2,Frontend;Backend
"Épica 1: Autenticación y Onboarding",HU1.4,Registro de Padres y Gestión de Hijos,"Como Padre, quiero registrar una cuenta y agregar la información de mis hijos para poder inscribirlos en programas deportivos.","• Registro de padre con email/contraseña | • Formulario agregar hijo: nombre, fecha nacimiento, género, foto | • Capacidad de agregar múltiples hijos | • Ver/editar información de hijo | • Una cuenta de padre puede gestionar múltiples hijos | • Validación de edad para programas",M,Obligatorio,HU1.2,7,Frontend;Backend
"Épica 1: Autenticación y Onboarding",HU1.5,Modo Demo,"Como prospecto/visitante, quiero explorar un demo pre-poblado de la plataforma para poder entender su valor antes de registrarme.","• Página de bienvenida demo con selección de rol | • Datos semilla pre-poblados | • Tour guiado destacando características clave | • Demo basado en sesión | • CTAs claros Salir del Demo o Registrarse | • Modal de conversión al completar tour | • Analytics de interacción",M,Deseable,Ninguna,9,Frontend
"Épica 2: Gestión de Estudiantes",HU2.1,Vista de Directorio de Estudiantes,"Como Administrador de Escuela, quiero ver una lista de todos mis estudiantes con capacidades de búsqueda y filtrado para encontrar rápidamente la información de cualquier estudiante.","• Vista de tabla/grid con nombre, edad, programa, estado | • Búsqueda por nombre en tiempo real | • Filtros por programa, edad, estado | • Ordenamiento por columnas | • Paginación 20 por página | • Click en fila para ver detalles | • Diseño responsive móvil | • Estados visuales: activo, inactivo, graduado",M,Obligatorio,HU1.2,3,Frontend;Backend
"Épica 2: Gestión de Estudiantes",HU2.2,Creación Manual de Estudiante,"Como Administrador de Escuela, quiero agregar manualmente un nuevo estudiante a mi academia para poder inscribirlo en programas.","• Formulario: nombre, fecha nacimiento, género, email/teléfono padre | • Información contacto padre | • Contacto de emergencia | • Notas médicas opcionales | • Subida de foto opcional | • Validación de formulario | • Notificación de éxito | • Auto-asignación a escuela",M,Obligatorio,HU2.1,3,Frontend;Backend
"Épica 2: Gestión de Estudiantes",HU2.3,Vista Detallada y Edición de Estudiante,"Como Administrador de Escuela, quiero ver información detallada sobre un estudiante y editar su perfil para mantener registros actualizados.","• Página de detalle con toda la información | • Modo edición para actualizar campos | • Ver historial de inscripciones | • Ver historial de pagos | • Ver resumen de asistencia | • Eliminar estudiante con confirmación y soft-delete | • Actualizar info contacto padre | • Log de auditoría de cambios",M,Obligatorio,HU2.2,5,Frontend;Backend
"Épica 2: Gestión de Estudiantes",HU2.4,Importación Masiva CSV,"Como Administrador de Escuela, quiero subir un archivo CSV con múltiples estudiantes para migrar rápidamente registros existentes.","• Plantilla CSV descargable | • Interfaz drag-drop o explorar | • Parsing y validación de CSV | • Tabla de previsualización con errores resaltados | • Mensajes de error claros | • Inserción masiva al confirmar | • Resumen de importación | • Validación de límites (máx 500)",L,Opcional,HU2.2,Post-MVP,Backend;Frontend
"Épica 2: Gestión de Estudiantes",HU2.5,Gestión de Estado de Estudiante,"Como Administrador de Escuela, quiero cambiar el estado de un estudiante (activo, inactivo, graduado) para mantener registros precisos.","• Dropdown: Activo, Inactivo, Graduado, Retirado | • Cambio de estado actualiza inscripciones | • Inactivos no aparecen en asistencia/rosters activos | • Trail de auditoría de cambios | • Filtrar por estado en directorio | • Confirmación antes de cambiar a Retirado/Graduado",S,Deseable,HU2.3,8,Frontend;Backend
